arquivo,janela,prob,enviados,retrans,descartados,taxa_perda_efetiva,tempo_s,throughput_kbps,md5_ok
woman.jpg,1,0.0,601,0,0,0.00,0.604000,8146,1
woman.jpg,1,0.05,601,28,28,4.45,28.875999,170,1
woman.jpg,1,0.1,601,65,65,9.76,65.964996,74,1
woman.jpg,1,0.15,601,96,96,13.77,96.980003,50,1
woman.jpg,2,0.0,601,0,0,0.00,0.589000,8353,1
woman.jpg,2,0.05,601,82,41,6.39,41.826000,117,1
woman.jpg,2,0.1,601,150,75,11.09,75.841003,64,1
woman.jpg,2,0.15,601,199,100,14.27,100.893997,48,1
woman.jpg,4,0.0,601,0,0,0.00,0.597000,8241,1
woman.jpg,4,0.05,601,104,26,4.15,26.792999,183,1
woman.jpg,4,0.1,601,279,70,10.43,70.857002,69,1
woman.jpg,4,0.15,601,415,104,14.75,104.856003,46,1
woman.jpg,8,0.0,601,0,0,0.00,0.570000,8631,1
woman.jpg,8,0.05,601,262,33,5.21,33.812000,145,1
woman.jpg,8,0.1,601,496,62,9.35,62.801998,78,1
woman.jpg,8,0.15,601,803,101,14.39,101.792000,48,1
woman.jpg,16,0.0,601,0,0,0.00,0.592000,8311,1
woman.jpg,16,0.05,601,496,31,4.91,31.783001,154,1
woman.jpg,16,0.1,601,836,53,8.10,53.748001,91,1
woman.jpg,16,0.15,601,1544,99,14.14,99.722000,49,1
woman.jpg,32,0.0,601,0,0,0.00,0.610000,8065,1
woman.jpg,32,0.05,601,1519,48,7.40,48.724998,100,1
woman.jpg,32,0.1,601,1627,53,8.10,53.772999,91,1
woman.jpg,32,0.15,601,3293,107,15.11,107.806000,45,1
